75,F44/10440,Emerald,E,0.43,VVS1,VG,VG,None,0.617,0.72,5.12*3.74*2.30,GIA,6301037749,2600,-0.32,1768,760.24,"Pinpoint, Feather"
76,F55/7924,Emerald,D,0.41,VVS1,EX,VG,Strong,0.68,0.59,4.82*3.62*2.47,GIA,6332875858,2900,-0.32,1972,808.52,"Needle, Feather"
77,F181/10998,Emerald,F,0.41,VVS1,EX,VG,None,0.656,0.63,5.07*3.49*2.29,GIA,6325467970,2400,-0.32,1632,669.12,Manufacturing Remnant
78,F190/8245,Emerald,D,0.4,VVS2,EX,VG,Faint,0.686,0.69,4.65*3.58*2.46,GIA,7346216872,2600,-0.32,1768,707.2,Pinpoint
79,F39/7200,Emerald,D,0.4,SI1,VG,G,Faint,0.608,0.7,4.99*3.72*2.26,GIA,6292876455,1900,-0.32,1292,516.8,Feather
80,F40/10440,Emerald,E,0.4,VVS1,VG,VG,None,0.66,0.69,4.91*3.62*2.39,GIA,5296688968,2600,-0.32,1768,707.2,"Pinpoint, Indented Natural, Extra Facet"
81,F45/8694,Emerald,E,0.4,VS2,EX,G,None,0.613,0.73,4.98*3.66*2.25,GIA,7296804480,2100,-0.32,1428,571.2,"Indented Natural, Crystal, Feather"
82,F47/6840,Emerald,E,0.4,SI1,EX,VG,None,0.658,0.73,4.84*3.69*2.43,GIA,3295803673,1800,-0.32,1224,489.6,"Crystal, Feather"
83,F50/7182,Emerald,E,0.4,SI1,EX,G,None,0.646,0.75,4.88*3.63*2.35,GIA,6302041845,1800,-0.32,1224,489.6,"Feather, Crystal"
84,F97/6579,Emerald,G,0.4,SI1,EX,G,Medium,0.671,0.61,4.76*3.52*2.36,GIA,6272440247,1600,-0.27,1168,467.2,Feather
85,F276/8174,Emerald,H,0.4,VVS1,EX,EX,Faint,0.666,0.69,5.00*3.69*2.46,GIA,6345053784,2100,-0.27,1533,613.2,"Internal Graining, Feather"
86,F65/10206,Emerald,D,0.39,VVS1,VG,VG,None,0.674,0.63,4.82*3.54*2.39,GIA,6282695815,2300,-0.24,1748,681.72,Pinpoint
87,F101/10395,Emerald,E,0.37,VVS2,EX,VG,None,0.633,0.68,4.82*3.41*2.16,GIA,1267869460,1900,-0.24,1444,534.28,Pinpoint
88,F107/10395,Emerald,E,0.37,VVS2,EX,VG,None,0.655,0.65,4.73*3.53*2.31,GIA,6292071786,1900,-0.24,1444,534.28,"Needle, Pinpoint"
89,F94/9072,Emerald,E,0.36,VVS1,VG,VG,None,0.66,0.69,5.06*3.43*2.27,GIA,6295647773,2100,-0.24,1596,574.56,"Pinpoint, Feather, Manufacturing Remnant"
90,F18/6426,Emerald,D,0.34,SI1,EX,VG,None,0.775,0.66,4.65*3.08*2.39,GIA,6265310379,1600,-0.27,1168,397.12,Feather
91,F57/5292,Emerald,G,0.33,SI1,EX,VG,None,0.695,0.67,4.52*3.31*2.30,GIA,3265310256,1300,-0.27,949,313.17,Feather
92,F108/9504,Emerald,E,0.32,VVS1,EX,VG,None,0.684,0.62,4.35*3.35*2.29,GIA,6295064033,2100,-0.27,1533,490.56,"Pinpoint, Extra Facet"
93,F95/7825,Emerald,D,0.3,VVS2,G,G,None,0.672,0.66,4.40*3.28*2.20,GIA,2344219320,2100,-0.27,1533,459.9,"Feather, Indented Natural, Pinpoint"
94,F252/8694,Emerald,D,0.3,VVS2,EX,VG,Faint,0.658,0.62,4.76*3.23*2.13,GIA,2357132214,2100,-0.27,1533,459.9,"Feather, Pinpoint"
95,F72/7884,Emerald,D,0.3,VS1,VG,VG,None,0.71,0.69,4.27*3.29*2.34,GIA,3345252864,1900,-0.27,1387,416.1,Crystal
96,F253/7191,Emerald,F,0.29,VVS2,G,VG,None,0.617,0.69,4.64*3.35*2.07,GIA,7331655739,1420,-0.25,1065,308.85,Feather
97,F19/18737,Asscher,G,0.91,VS1,EX,EX,None,0.715,0.67,5.29*5.07*3.62,GIA,2286459040,4800,-0.37,3024,2751.84,"Cloud, Needle, Pinpoint"
98,F20/15981,Asscher,H,0.91,VS1,EX,EX,Faint,0.707,0.68,5.12*5.10*3.61,GIA,7282239050,4400,-0.37,2772,2522.52,"Crystal, Feather, Cloud, Pinpoint"
99,F23/14606,Asscher,H,0.91,VS2,EX,VG,None,0.72,0.69,5.27*5.06*3.64,GIA,1273989708,4300,-0.37,2709,2465.19,Crystal
100,F24/15673,Asscher,H,0.9,VVS2,EX,EX,None,0.723,0.68,5.25*4.98*3.60,GIA,3275958763,4500,-0.37,2835,2551.5,Pinpoint
101,F30/16193,Asscher,H,0.9,VS1,EX,EX,None,0.709,0.66,5.14*5.04*3.58,GIA,5283048613,4400,-0.37,2772,2494.8,"Cloud, Feather, Needle"
102,F8/16029,Asscher,I,0.9,VVS2,EX,VG,None,0.698,0.66,5.21*5.07*3.54,GIA,5273514150,4100,-0.33,2747,2472.3,Feather
103,F35/14799,Asscher,I,0.9,VS1,EX,EX,None,0.686,0.65,5.24*5.24*3.60,GIA,2307186317,3900,-0.33,2613,2351.7,"Crystal, Needle, Pinpoint"
104,F110/38981,Marquise,D,1.05,VVS2,EX,VG,Medium,0.595,0.58,10.78*5.39*3.21,GIA,7321149454,9100,-0.27,6643,6975.15,"Needle, Pinpoint"
